name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Puka Nacua,1,1,WR,WR,LAR,3121687,17,177,129,1701,100.1,13.2,9,15,109,7.3,2,1,231,13.6,2026
Jaxon Smith-Njigba,2,2,WR,WR,SEA,3162959,17,154,111,1618,95.2,14.6,11,7,36,5.1,0,1,219,12.9,2026
Drake London,3,3,WR,WR,ATL,3127902,17,168,104,1421,83.6,13.7,13,0,0,0,0,1,210,12.4,2026
Ja'Marr Chase,4,4,WR,WR,CIN,2966320,17,187,128,1552,91.3,12.1,10,3,19,6.3,0,1,207,12.2,2026
Amon-Ra St. Brown,5,5,WR,WR,DET,2967690,17,162,115,1368,80.5,11.9,11,3,8,2.7,0,0,195,11.5,2026
George Pickens,6,6,WR,WR,DAL,3123212,17,142,94,1388,81.6,14.8,10,1,0,0,0,0,191,11.2,2026
Rashee Rice,7,7,WR,WR,KC,3124978,17,150,105,1051,61.8,10,13,8,34,4.3,2,0,188,11.1,2026
Nico Collins,8,8,WR,WR,HOU,2878193,17,134,82,1298,76.4,15.8,9,2,13,6.5,1,1,179,10.5,2026
Chris Olave,9,9,WR,WR,NO,2963666,17,152,98,1242,73.1,12.7,10,1,0,0,0,0,177,10.4,2026
A.J. Brown,10,10,WR,WR,NE,2258303,17,143,91,1296,76.2,14.2,9,0,0,0,0,0,175,10.3,2026
Malik Nabers,11,11,WR,WR,NYG,26697761,17,128,76,1037,61,13.6,11,4,2,0.5,0,0,163,9.6,2026
Tee Higgins,12,12,WR,WR,CIN,2809208,17,119,74,1034,60.8,14,11,0,0,0,0,0,161,9.5,2026
CeeDee Lamb,13,14,WR,WR,DAL,2865251,17,157,102,1335,78.5,13.1,6,5,25,5,0,0,161,9.5,2026
Zay Flowers,14,13,WR,WR,BAL,3127049,17,118,83,1184,69.6,14.3,8,10,60,6,1,2,161,9.5,2026
Justin Jefferson,15,15,WR,WR,MIN,2871343,17,146,90,1269,74.6,14.1,7,2,6,3,0,0,160,9.4,2026
Tetairoa McMillan,16,16,WR,WR,CAR,28877124,17,141,82,1172,68.9,14.3,8,0,0,0,0,1,153,9,2026
Emeka Egbuka,17,17,WR,WR,TB,26696165,17,143,72,1122,66,15.6,8,2,10,5,0,0,152,8.9,2026
Alec Pierce,18,18,WR,WR,IND,2965664,17,89,49,1067,62.8,21.8,9,0,0,0,0,0,152,8.9,2026
Jameson Williams,19,19,WR,WR,DET,3125968,17,99,63,1081,63.6,17.2,7,7,39,5.6,1,0,149,8.8,2026
Terry McLaurin,20,20,WR,WR,WAS,2139279,17,98,65,928,54.6,14.3,10,1,1,1,0,0,144,8.5,2026
Ladd McConkey,21,21,WR,WR,LAC,3163962,17,126,82,1035,60.9,12.6,8,0,0,0,0,0,143,8.4,2026
DeVonta Smith,22,22,WR,WR,PHI,2866975,17,126,90,1153,67.8,12.8,6,0,0,0,0,0,142,8.4,2026
Garrett Wilson,23,23,WR,WR,NYJ,3123864,17,141,89,955,56.2,10.7,9,1,2,2,0,1,139,8.2,2026
Mike Evans,24,25,WR,WR,SF,1824909,17,134,76,994,58.5,13.1,8,0,0,0,0,0,138,8.1,2026
Davante Adams,25,24,WR,WR,LAR,1893167,17,128,69,851,50.1,12.3,10,0,0,0,0,0,138,8.1,2026
Luther Burden III,26,26,WR,WR,CHI,28874444,17,101,73,1056,62.1,14.5,6,8,32,4,0,0,135,7.9,2026
Christian Watson,27,27,WR,WR,GB,2869806,17,89,53,943,55.5,17.8,8,3,11,3.7,0,0,134,7.9,2026
Rome Odunze,28,28,WR,WR,CHI,3162979,17,125,63,916,53.9,14.5,8,1,4,4,0,0,131,7.7,2026
Brian Thomas Jr.,29,29,WR,WR,JAC,3132164,17,106,61,942,55.4,15.4,6,4,30,7.5,1,0,129,7.6,2026
Marvin Harrison Jr.,30,30,WR,WR,ARI,26701883,17,125,69,949,55.8,13.8,7,0,0,0,0,0,128,7.5,2026
D. Moore,31,31,WR,WR,BUF,2179328,17,109,70,815,47.9,11.6,8,16,81,5.1,1,1,127,7.5,2026
Jaylen Waddle,32,32,WR,WR,DEN,2962110,17,114,74,996,58.6,13.5,6,3,25,8.3,0,0,127,7.5,2026
Parker Washington,33,33,WR,WR,JAC,3168820,17,101,62,925,54.4,14.9,7,7,2,0.3,0,0,126,7.4,2026
Courtland Sutton,34,34,WR,WR,DEN,2218461,17,118,70,911,53.6,13,7,0,0,0,0,0,125,7.4,2026
D. Metcalf,35,35,WR,WR,PIT,2260185,17,103,61,892,52.5,14.6,6,2,10,5,1,0,123,7.2,2026
Quentin Johnston,36,36,WR,WR,LAC,3162609,17,98,58,786,46.2,13.6,9,3,7,2.3,0,1,122,7.2,2026
Chris Godwin,37,38,WR,WR,TB,2818150,17,108,75,842,49.5,11.2,6,1,1,1,0,0,111,6.5,2026
Jordan Addison,38,37,WR,WR,MIN,3162290,17,89,50,736,43.3,14.7,6,3,78,26,1,0,111,6.5,2026
Michael Wilson,39,39,WR,WR,ARI,2965181,17,106,66,797,46.9,12.1,6,0,2,0,0,0,106,6.2,2026
Rashid Shaheed,40,41,WR,WR,SEA,2250863,17,96,57,865,50.9,15.2,4,13,91,7,0,1,104,6.1,2026
De'Zhaun Stribling,41,40,WR,WR,SF,26696676,17,97,60,857,50.4,14.3,5,3,13,4.3,0,2,104,6.1,2026
Jakobi Meyers,42,42,WR,WR,JAC,2183835,17,102,68,814,47.9,12,5,4,17,4.3,0,1,101,5.9,2026
Jayden Reed,43,43,WR,WR,GB,2967762,17,78,60,731,43,12.2,5,16,128,8,0,0,101,5.9,2026
Calvin Ridley,44,44,WR,WR,TEN,2186328,17,99,50,847,49.8,16.9,3,3,23,7.7,1,0,100,5.9,2026
Jalen Coker,45,45,WR,WR,CAR,3163990,17,79,60,746,43.9,12.4,6,0,0,0,0,1,100,5.9,2026
Rashod Bateman,46,46,WR,WR,BAL,2960940,17,72,40,583,34.3,14.6,8,0,0,0,0,0,98,5.8,2026
Ja'Kobi Lane,47,48,WR,WR,BAL,29158151,17,71,44,654,38.5,14.9,7,3,17,5.7,0,1,97,5.7,2026
Josh Downs,48,47,WR,WR,IND,3162970,17,103,68,711,41.8,10.5,6,2,2,1,0,1,97,5.7,2026
Deebo Samuel,49,49,WR,WR,SF,2139735,17,92,65,651,38.3,10,5,36,114,3.2,1,0,96,5.6,2026
Jauan Jennings,50,50,WR,WR,MIN,2180514,17,83,51,629,37,12.3,7,0,0,0,0,1,95,5.6,2026
Michael Pittman,51,52,WR,WR,PIT,2240188,17,111,77,678,39.9,8.8,6,0,0,0,0,0,94,5.5,2026
Wan'Dale Robinson,52,51,WR,WR,TEN,3124107,17,127,84,797,46.9,9.5,4,2,6,3,0,0,94,5.5,2026
K. Concepcion,53,53,WR,WR,CLE,29123718,17,100,62,831,48.9,13.4,4,2,10,5,0,2,93,5.5,2026
Romeo Doubs,54,54,WR,WR,NE,2961886,17,84,55,712,41.9,13,5,0,0,0,0,0,93,5.5,2026
Denzel Boston,55,55,WR,WR,CLE,28875368,17,97,60,800,47.1,13.3,4,2,10,5,0,2,92,5.4,2026
Stefon Diggs,56,57,WR,WR,WAS,2000038,17,85,68,750,44.1,11,4,1,2,2,0,0,91,5.4,2026
Xavier Worthy,57,56,WR,WR,KC,26730787,17,88,53,644,37.9,12.2,4,22,146,6.6,1,0,91,5.4,2026
Matthew Golden,58,58,WR,WR,GB,28874927,17,70,47,704,41.4,15,4,12,57,4.8,0,0,89,5.2,2026
Carnell Tate,59,59,WR,WR,TEN,29124411,17,91,56,771,45.4,13.8,4,2,9,4.5,0,2,89,5.2,2026
Keenan Allen,60,60,WR,WR,IND,1737096,17,99,62,675,39.7,10.9,5,0,0,0,0,0,88,5.2,2026
