name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Jason Myers,1,1,K,SEA,2169640,17,39,44,,0.303,0.304,8.3,9.2,12.5,13.2,11.4,12.9,6.4,6.4,50,51,167,9.8,2026
Ka'imi Fairbairn,2,2,K,HOU,1996562,17,39,43,,0.326,0.326,9,9.4,10.6,10.8,11.9,13.2,6.9,6.9,40,41,157,9.2,2026
Brandon Aubrey,3,3,K,DAL,2815718,17,35,40,,0.289,0.289,8.3,8.4,9.4,10.2,10.7,11.9,6.1,6.1,49,49,154,9.1,2026
Blake Grupe,4,4,K,IND,2876348,17,34,42,,0.264,0.264,9,9,11.6,13.6,7.6,11.3,5.6,5.6,51,52,153,9,2026
Nick Folk,5,5,K,ATL,410721,17,35,38,,0.291,0.291,8,8.1,10,10.2,10,11.2,6.2,6.2,47,47,152,8.9,2026
Jake Bates,6,6,K,DET,3173439,17,31,38,,0.242,0.242,6.7,6.7,9.5,9.7,9.5,11.5,5,5,53,55,146,8.6,2026
Cameron Dicker,7,7,K,LAC,2961997,17,35,38,,0.278,0.278,7.6,7.7,11.7,12.3,10.3,11.5,5.3,5.3,39,41,144,8.5,2026
Cairo Santos,8,8,K,CHI,2132690,17,32,37,,0.247,0.247,6.8,6.9,8.9,9.7,10.5,13,5.2,5.2,46,47,142,8.4,2026
Harrison Mevis,9,9,K,LAR,3162619,17,29,31,,0.244,0.247,6.7,6.8,7.9,8.4,10.4,11.5,3.39,3.39,55,56,142,8.4,2026
Chase McLaughlin,10,11,K,TB,2165272,17,33,40,,0.291,0.291,8.2,8.3,9.9,11.6,8.4,11.8,6.2,6.2,42,44,141,8.3,2026
Will Reichard,11,10,K,MIN,3121084,17,33,36,,0.289,0.29,8,8,9.9,10.2,8.3,9.3,6.1,6.1,42,43,141,8.3,2026
Tyler Loop,12,12,K,BAL,3174704,17,29,32,,0.232,0.232,9.3,9.4,10.6,10.8,7.7,8.7,1.16,1.16,49,52,136,8,2026
Harrison Butker,13,14,K,KC,2078888,17,33,39,,0.509,0.509,9.6,9.9,10.1,10.2,8.5,10.1,4.65,4.65,35,39,134,7.9,2026
Wil Lutz,14,15,K,DEN,2008545,17,30,36,,0.224,0.225,8.4,8.5,10.7,10.9,6.4,9.4,4.42,4.42,44,45,134,7.9,2026
Evan McPherson,15,13,K,CIN,2962681,17,29,34,,0.235,0.235,6.5,6.5,7.6,7.7,10,11.1,4.99,4.99,47,50,134,7.9,2026
Cam Little,16,16,K,JAC,26702477,17,28,32,,0.233,0.234,6.4,6.5,8,8.1,8.5,10.2,4.96,4.96,47,48,131,7.7,2026
Eddy Pineiro,17,17,K,SF,2221833,17,31,34,,0.244,0.244,6.7,6.8,8.5,8.8,10.4,11.5,5.2,5.2,37,41,130,7.6,2026
Charlie Smyth,18,18,K,NO,29375393,17,30,36,,0.268,0.27,7.4,7.6,9.7,10.5,7.9,11,4.18,4.18,37,38,127,7.5,2026
Andres Borregales,19,19,K,NE,26699665,17,27,32,,0.425,0.425,7.3,7.4,9.1,10.1,6.5,9.7,3.65,3.65,44,45,125,7.4,2026
Tyler Bass,20,20,K,BUF,2188356,17,26,31,,0.212,0.213,8,8.8,7.1,7.2,6.2,9.2,4.51,4.51,46,49,124,7.3,2026
Joey Slye,21,21,K,TEN,3116871,17,29,35,,0.257,0.258,7.1,7.4,8.4,8.7,7.6,9.9,5.5,5.5,35,36,122,7.2,2026
Trey Smack,22,23,K,GB,28899321,17,28,34,,0.283,0.286,7.9,8.2,9.1,10.1,7.9,10.3,3.12,3.12,38,43,122,7.2,2026
Drew Stevens,23,22,K,WAS,28873746,17,27,32,,0.27,0.272,7.6,7.8,8.6,9.6,7.6,9.8,2.97,2.97,41,46,122,7.2,2026
Jason Sanders,24,24,K,NYJ,2131909,17,29,34,,0.239,0.239,6.6,6.6,10.5,10.6,6.9,9.6,5.1,5.1,34,37,121,7.1,2026
Riley Patterson,25,25,K,MIA,2865368,17,27,31,,0.215,0.215,5.9,6,8.5,9.5,9.1,10.1,3.16,3.16,38,38,119,7,2026
Jake Elliott,26,26,K,PHI,2080295,17,26,33,,0.199,0.199,5.5,5.5,8.4,8.6,8.4,10.8,3.35,3.35,41,43,119,7,2026
Zane Gonzalez,27,27,K,MIA,2061033,17,27,31,,0.216,0.216,5.9,6,7,8.4,9.2,10.2,4.59,4.59,37,38,118,6.9,2026
Chad Ryland,28,28,K,ARI,2964074,17,26,33,,0.215,0.215,5.9,6,8.4,9.1,7.3,10.7,4.57,4.57,37,38,115,6.8,2026
Chris Boswell,29,29,K,PIT,1724930,17,25,29,,0.21,0.211,5.8,5.9,6.8,8.1,7.6,8.6,4.47,4.47,36,37,111,6.5,2026
Ryan Fitzgerald,30,30,K,CAR,3126649,17,24,29,,0.193,0.193,5.8,5.9,7.7,8.7,8.2,9.1,1.93,1.93,32,36,104,6.1,2026
Matt Gay,31,31,K,LV,2870511,17,23,31,,0.187,0.187,6,6,6.1,6.9,7.1,7.9,3.97,3.97,34,34,103,6.1,2026
Andre Szmyt,32,32,K,CLE,2868551,17,21,24,,0.169,0.169,4.65,4.7,8,8.8,4.86,5.8,3.6,3.6,30,32,93,5.5,2026
Ben Sauls,33,33,K,NYG,3169819,17,20,26,,0.191,0.193,5.8,6.1,6.7,8.4,5.4,7.5,1.85,1.85,25,31,85,5,2026
Dominic Zvada,34,34,K,NYG,28876817,17,7,9,,0.067,0.067,1.87,1.92,2.13,2.63,1.87,2.69,0.733,0.733,9,12,30,1.8,2026
Matt Prater,35,35,K,BUF,1109832,17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
Spencer Shrader,36,36,K,IND,3131541,17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
